,score,text,fold
0,5,túi rất đẹp túi đẹp may kĩ và tiện_lợi khi bên trong và bên ngoài đều có túi nhỏdây kéo_lại đẹp nói_chung là rất đáng tiền mua,1
1,4,bốn sao mẫu_mã và chất_lượng y hình,0
2,5,năm sao đẹp,2
3,5,năm sao very nice i love it,2
4,5,tot sản_phẩm giống như hình đẹp,2
5,5,năm sao đẹp,0
6,5,tuyệt chỉ 1ngày mà mình đã nhận được hàng hàng rất đẹp mình thích lắm luôn á,2
7,3,5 sao tôi rất hài_lòng về sản phẩmcảm ơn lazada,0
8,5,túi đẹp và tiện_dụng đã mua thêm 1 cái nữa và còn mua thêm nữa,0
9,4,túi đẹp có vài chỗ đường chỉ bị may chồng lên nhau nhưng nhìn_chung túi đẹp chắc_chắn giá rẻ so với chất_lượng mình rất thích sản_phẩm này,1
10,5,tốt sản_phẩm vừa tầm giáchất lượng tốt,0
11,4,đánh_giá đẹp nhưng túi hơi nhỏ,3
12,5,năm sao đẹp lắm rất thích,4
13,3,ba sao hài_lòng với sản_phẩm này cực_kỳ lần sau sẽ mua hàng trên lazada tiếp,2
14,5,túi_xách mình mua về rất hài_lòng chất_liệu đã tốt mà_lại vừa túi_tiền nữa mình rất thích sản_phẩm này,2
15,5,hàng đẹp như hình nhìn chắc_chắn bền đẹp ok,2
16,1,hàng đúng như hình nhưng trên website có tặng kèm ví mà nhận ko có,3
17,5,năm sao hàng đẹp tốt,1
18,5,rất tốt hàng nhận giống hình chất_liệu đẹp phù_hợp với giá tiền,0
19,5,quá đẹp đã nhận được hàng quá đẹp phải đặt thêm cái nữa cho 5 sao,0
20,4,sản_phẩm đẹp sản_phẩm đẹp so với giá,0
21,5,năm sao rất hài_lòng về sản_phẩm đã đẹp tỉ_mỉ cẩn thẩn đến từng đường may mà giá lại siêu mềm cảm_ơn lazada rất nhiều nhé,0
22,3,tốt sản_phẩm tốt trong tầm giá,4
23,5,năm sao túi đẹp và rẻ,0
24,5,mình đang dùng túi này thấy thích lắm mà giá_cả phải chăng túi như quảng_cáo,1
25,5,tuyệt_vời túi da mềm đường may đẹp giá quá rẻ mình mua lúc 105k đang định đặt thêm mang đi làm hay đi chơi đều được nhé rất trẻ_trung,2
26,4,bốn sao túi đẹp da mềm mịn giá rẻ tôi rất hài_lòng về sản_phẩm tuy_nhiên giao hàng còn chậm đợi đến 10 ngày thì quá lâu,3
27,5,năm sao mình rất hài_lòng,3
28,5,năm sao hàng ok rất thích,1
29,1,em đặt túi này sao mãi không thấy inbox_vậy,4
30,5,5 sao tôi thích sản_phẩm đã mua,2
31,5,chất_lượng tốt giá vậy là quá ok so với hàng,4
32,5,hài_lòng về sản_phẩm và dịch_vụ của hài_lòng về sản_phẩm và dịch_vụ của lazada túi_xách như hình_ảnh giá rẻ giao hàng nhanh tuyệt_vời lazada,3
33,3,very good tôi hài_lòng về sản_phẩm của các bạn mẫu_mã đẹp từng đường chỉ rất chuẩn_xác không có lỗi giá_cả cực_kì hợp_lý cám_ơn lazada và latashop,4
34,5,đẹp rất ưng_ý mua lúc đang giảm_giá 92k sản_phẩm rất đẹp da mịn dày_dặn quai đeo chắc_chắn khuy nút dây kéo_đẹp,0
35,5,chất_lượng tốt hàng giao trong 24h thì chiều_hôm trước đặt 10h tối hôm sau dậy đi nhận hàng chất_lượng hàng tốt chất_liệu da tốt chỉ may đẹp mầu_sắc vừa_mắt quan_trọng vợ mình vui cám_ơn shop và lazada,3
36,1,gọi người bán không bắt mấy sản_phẩm thì không như_ý giá bán không đúng,0
37,5,hài_lòng,2
38,4,bốn sao đẹp nhưng hơi nhỏ,4
39,1,không hài_lòng tôi vừa nhận được túi_xách chất_liệu túi nhão form túi thì bị méo nhìn sản_phẩm không chắc_chắn,1
40,3,tạm,4
41,3,túi tốt chất_liệu thích giỏ gọn tiện_dụng nói_chung thích,1
42,5,túi_xách đẹp gọn_nhẹ mình rất thích,1
43,5,tuyệt hàng y hình ok túi rất đẹp và quá rẻ so với giá tiền hài_lòng tuyệt_đối cho 5 sao,0
44,1,túi xấu,3
45,1,hàng vàng_mã hàng quá xấu so với ảnh như đồ vàng_mã,0
46,4,túi hơi bé hàng tốt chất_lượng trừ mỗi điểm túi hơi bé,0
47,3,túi_xách ok rất thích,0
48,4,hài_lòng hàng giống hình đẹp giá rẻ định lựa nữa mà hết hàng,2
49,5,năm sao rất ưng,3
50,5,năm sao da cũng đẹp đường may tốt,1
51,4,đẹp chất_liệu tốt_đẹp như hình 39,1
52,4,bốn sao mới nhận hàng hôm_nay vơi giá 77k dùng đựng đồ_chơi chơi cũng ổn giống hình da cứng_cáp,2
53,5,sản_phẩm tốt sản_phẩm tốt đóng_gói cẩn_thận,4
54,5,tui đeo da mềm em thích vì nhờ bộ điện_thoại vô vừa tui đeo chéo lata,4
55,4,sản_phẩm chấp_nhận được so với mô_tả và mức giá,4
56,1,một sao,2
57,5,túi đeo chéo lata hàng đẹp đúng với quãng cáo giao hàng nhanh thân_thiện rất hài_lòng thanks lazada,4
58,4,xài êm_đẹp được,0
59,5,đẹp như hình,1
60,4,bốn sao chất_lượng sản_phẩm tốt hơn mong_đợi,3
61,5,sản_phẩm tốt sản_phẩm tốt đóng_gói cẩn_thận,2
62,4,tốt sản_phẩm dùng ok với tầm giá này thì chất_lượng rất tốt,3
63,3,ba sao hàng phù_hợp với giá tiền,1
64,5,tuyệt_vời mua rất ưng_í,1
65,5,tuyệt_vời sản_phẩm đẹp giao hàng nhanh giá_cả cũng hợp_lý,2
66,5,tốt mua được giá rẻ 100k hài_lòng da mềm chắc gọn_nhẹ để ví bóp và điện_thoại vừa phải không cồng_kềnh tiện_lợi,2
67,5,hàng đẹp dùng ok rất hài_lòng về sản_phẩm,0
68,1,một sao mình hài_lòng với sản_phẩm với giá tiền như_vậy thì sản_phẩm ổn rùi,0
69,5,dịch_vụ tương_đối tốt đặt_hàng nhanh,4
70,4,tốt giao hàng nhanh hàng rất đẹp mình rất hài_lòng với sản_phẩm nhưng khi giao hàng mình không thấy có hóa_đơn giao hàng,4
71,4,đẹp mỗi tôi hơi nhỏ nếu bạn là nam_giới,4
72,2,túi nhỏ xinh phù_hợp với giá tiền đã giảm nhưng ko hài_lòng ở mùi của da túi mãi ko thấy bay hết mùi hic,4
73,5,năm sao ok hài_lòng về sản_phẩm,4
74,5,tuyệt túi da giống y_hình da rất đẹp rất đáng để mua sản_phẩm rất ưng_í,1
75,5,túi đẹp túi đẹp 5 sao,2
76,3,ba sao ví da cũng rất oki nhé nhưng ví tặng thì hơi kì,3
77,1,rớt rep một sao,4
78,2,hàng rất mà đep sai ok,1
79,3,hài_lòng mình rất thích túi chất đẹp hàng đẹp tuy màu không được đậm như hình,4
80,3,tốt hàng đẹp chất_liệu tốt dày_dặn rất vừa_ý,3
81,2,nhìn đẹp nhìn đẹp nhưng không bền đeo vào thì rớt dây rớt khóa tùm_lum,2
82,4,tốt ok kích_thước nhỏ hơn màu dám hôm đã mềm đường chỉ chắc_chắn nói tóm_lại hài_lòng,4
